,Electricity: Distribution Losses,Electricity: Exports,Electricity: Imports,Electricity: Installed Capacity,Electricity: Net Generation,Electricity: Net Imports,Population: Growth Rate,Economics: GDP
1992-01-01,2.841,1.521,4.85,7.143,30.026,3.329,-0.1681951446612127,38730585922.2189
1993-01-01,4.358,0.756,3.25,7.266,31.163306,2.494,-0.1681951446612127,40124916940.5945
1994-01-01,4.253,0.9,3.0,7.179,31.743,2.1,-0.1684785173472059,43166678735.2183
1995-01-01,4.749,0.805,3.21,7.263,32.226733,2.405,-0.1687628464888032,46425677734.1435
1996-01-01,4.679,1.28,3.47,7.395,33.22876,2.19,-0.1690481369366337,46658755151.6017
1997-01-01,4.736,2.261,4.41,7.393,33.52012,2.149,-0.1693343935741638,47296952928.7561
1998-01-01,4.916,3.302,4.042,7.73,35.21641,0.74,-0.1696216213179751,48706787306.2574
1999-01-01,4.892,2.34,3.403,7.725,35.724,1.063,-0.1699098251181372,49073380173.7159
2000-01-01,4.84,6.083,9.523,8.191,33.23722,3.44,-0.1701990099583102,47218405892.4258
2001-01-01,4.676,7.232,10.403,8.312,34.38844,3.171,-0.2109673002154957,53749989092.0197
2002-01-01,4.399,8.349,12.605,8.474,34.14072,4.256,-0.2114133131745963,67608919144.3684
2003-01-01,4.24,7.138,14.077,8.269,32.22422,6.939,-0.2118612159906542,85302003908.042
2004-01-01,3.98,3.056,10.524,8.74,31.86014,7.468,-0.212311020700793,104141042625.791
2005-01-01,3.941,9.41,15.637,8.844,33.7422,6.227,-0.2127627394445788,113236711635.539
2006-01-01,3.964,8.186,15.393,8.881,33.65762,7.207,-0.2132163844651114,115751266695.185
2007-01-01,3.959,10.694,14.68,8.914,37.74876,3.986,-0.2136719681101313,140227560615.121
2008-01-01,3.888,8.871,12.774,9.013,37.70684,3.903,-0.2141295028331393,158374419641.016
2009-01-01,3.604,5.459,10.972,9.325,33.7298,5.513,-0.2145890011945318,131114229049.178
2010-01-01,3.800998,4.702,9.897,9.396,34.960717,5.195,-0.2150504758627497,132231134158.608
2011-01-01,3.783999,8.021,14.664,10.043,33.810596,6.643,-0.2855341912970413,141999960209.893
2012-01-01,3.683998,9.003,16.970001,9.62,32.587303,7.967001,-0.2863518236609774,128857370476.631
2013-01-01,3.663,4.758,16.635,8.625,28.273384,11.877,-0.2871741520825674,135732595721.853
2014-01-01,3.630999,5.689,19.079,9.092,27.436954,13.39,-0.288001217135846,141078984816.675
2015-01-01,3.694999,6.249,19.935,9.028,28.442948,13.686,-0.2888330598637632,125210324613.14
2016-01-01,3.566,5.24,17.951001,9.037,29.89166,12.711001,-0.1903101568164756,128636108315.474
2017-01-01,3.455999,6.925001,19.802999,9.233,31.00248,12.877998,-0.1906730269530767,143136245596.988
2018-01-01,3.357,4.2649999,18.6130001,9.65,30.1610501,14.3480002,-0.1910372835242002,160586833778.457
2019-01-01,3.292,7.2690002,19.853,10.348,32.463938,12.5839998,-0.191402934490818,163526491433.29
2020-01-01,3.139,7.4990001,19.1760001,11.067,33.177421,11.677,-0.1917699878750836,155808436238.487
2021-01-01,3.0314049,7.2132168,19.967019,11.083,34.1914781,12.7538022,1.1113962225604588,155808436238.487
