,Electricity: Distribution Losses,Electricity: Installed Capacity,Population: Growth Rate,Economics: GDP
1992-01-01,0.0021,0.012,3.0639175472674887,269116491.92309
1993-01-01,0.0021,0.012,3.0639175472674887,300843868.620008
1994-01-01,0.0021,0.012,2.972832413305386,402868080.452087
1995-01-01,0.00231,0.012,2.887006546904753,469479432.749053
1996-01-01,0.00266,0.012,2.8059972233603734,510598923.283984
1997-01-01,0.00294,0.012,2.729410053057462,526514030.509295
1998-01-01,0.00329,0.012,2.656892560414557,457679209.236648
1999-01-01,0.00364,0.013,2.5881287599378333,488001488.187512
2000-01-01,0.0,0.014,2.5228345532982717,419933580.931046
2001-01-01,0.0,0.014,2.5679453367381533,409435392.194013
2002-01-01,0.0,0.014,2.503652898873437,346431958.274064
2003-01-01,0.0,0.036,2.442501148074636,352522682.156703
2004-01-01,0.0,0.036,2.3842654373931738,397611126.698465
2005-01-01,0.0,0.036,2.3287420456721573,476898763.595798
2006-01-01,0.0,0.037,2.275745796457436,538668769.301531
2007-01-01,0.0,0.037,2.225107994799168,620230005.227391
2008-01-01,0.0,0.037,2.1766746335082,699157190.980782
2009-01-01,0.0,0.037,2.130304828685807,735940409.683426
2010-01-01,0.0,0.037,2.0858694510499953,846797693.595387
2011-01-01,0.0,0.038,2.6745670751340604,1049952233.25874
2012-01-01,0.0,0.038,2.604897348315008,1190994126.60431
2013-01-01,0.0,0.0375,2.538765122947385,1284698922.22785
2014-01-01,0.0,0.037756,2.4759076432248244,1335538893.33315
2015-01-01,0.0,0.037756,2.4160875469820726,1307061543.70981
2016-01-01,0.0,0.038756,2.5636078738615145,1378551118.49224
2017-01-01,0.013,0.039956,2.499529732821414,1483758906.61054
2018-01-01,0.016,0.039956,2.4385767811196306,1574599182.64697
2019-01-01,0.018,0.039956,2.380525830937843,1570093229.25588
2020-01-01,0.018,0.039956,2.325174452482121,1545888426.23031
2021-01-01,0.018925714,0.039956,2.393115651100781,1545888426.23031
